2023-10-26 14:30:02,164 INFO    MainThread:54942 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-26 14:30:02,165 INFO    MainThread:54942 [wandb_setup.py:_flush():76] Configure stats pid to 54942
2023-10-26 14:30:02,165 INFO    MainThread:54942 [wandb_setup.py:_flush():76] Loading settings from /Users/yixuan.sun/.config/wandb/settings
2023-10-26 14:30:02,165 INFO    MainThread:54942 [wandb_setup.py:_flush():76] Loading settings from /Users/yixuan.sun/Documents/projects/Preconditioners/MatrixPreNet/DiracNPC/wandb/settings
2023-10-26 14:30:02,165 INFO    MainThread:54942 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-26 14:30:02,165 INFO    MainThread:54942 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-26 14:30:02,165 INFO    MainThread:54942 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'DiracNPC/reconstructConfig.py', 'program_abspath': '/Users/yixuan.sun/Documents/projects/Preconditioners/MatrixPreNet/DiracNPC/reconstructConfig.py', 'program': '/Users/yixuan.sun/Documents/projects/Preconditioners/MatrixPreNet/DiracNPC/reconstructConfig.py'}
2023-10-26 14:30:02,165 INFO    MainThread:54942 [wandb_init.py:_log_setup():528] Logging user logs to /Users/yixuan.sun/Documents/projects/Preconditioners/MatrixPreNet/DiracNPC/wandb/run-20231026_143002-zn3d1uzf/logs/debug.log
2023-10-26 14:30:02,165 INFO    MainThread:54942 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/yixuan.sun/Documents/projects/Preconditioners/MatrixPreNet/DiracNPC/wandb/run-20231026_143002-zn3d1uzf/logs/debug-internal.log
2023-10-26 14:30:02,165 INFO    MainThread:54942 [wandb_init.py:init():568] calling init triggers
2023-10-26 14:30:02,165 INFO    MainThread:54942 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'epochs': 10000, 'h_ch': 64}
2023-10-26 14:30:02,165 INFO    MainThread:54942 [wandb_init.py:init():618] starting backend
2023-10-26 14:30:02,165 INFO    MainThread:54942 [wandb_init.py:init():622] setting up manager
2023-10-26 14:30:02,166 INFO    MainThread:54942 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-26 14:30:02,168 INFO    MainThread:54942 [wandb_init.py:init():628] backend started and connected
2023-10-26 14:30:02,171 INFO    MainThread:54942 [wandb_init.py:init():720] updated telemetry
2023-10-26 14:30:02,198 INFO    MainThread:54942 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-26 14:30:02,485 INFO    MainThread:54942 [wandb_run.py:_on_init():2220] communicating current version
2023-10-26 14:30:02,532 INFO    MainThread:54942 [wandb_run.py:_on_init():2229] got version response 
2023-10-26 14:30:02,533 INFO    MainThread:54942 [wandb_init.py:init():804] starting run threads in backend
2023-10-26 14:30:05,013 INFO    MainThread:54942 [wandb_run.py:_console_start():2199] atexit reg
2023-10-26 14:30:05,013 INFO    MainThread:54942 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-26 14:30:05,013 INFO    MainThread:54942 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-26 14:30:05,013 INFO    MainThread:54942 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-26 14:30:05,014 INFO    MainThread:54942 [wandb_init.py:init():845] run started, returning control to user process
